"","...1","fid","mean_elev","elev_band","geometry","aspect","canopy_height","slope","road_lenght"
"14",14,21,670.114022974076,"0-1000m","list(c(95.331737331995",95.3326608261784,95.3829405824448,"95.38199722674, 95.331737331995, 26.790912518867, 26.8360191397924, 26.8351807860934, 26.7900757958492, 26.790912518867)),201.916672066095,17.7514121699196,19.7199500196097",8575.50422459509
"15",15,22,1350.80069286227,"1000-2000m","list(c(95.38199722674",95.3829405824448,95.4332181207799,"95.4322549073337, 95.38199722674, 26.7900757958492, 26.8351807860934, 26.8343245890582, 26.7892212641781, 26.7900757958492)),209.209375148835,24.9402596605384,23.6577842173067",24138.570986637
"16",16,23,1720.94497674854,"1000-2000m","list(c(95.4322549073337",95.4332181207799,95.4834933945522,"95.4825103272238, 95.4322549073337, 26.7892212641781, 26.8343245890582, 26.8334505517103, 26.7883489268697, 26.7892212641781)),191.381255271367,29.6744356475718,24.4832217247942",12007.3364512548
"17",17,24,2228.63497018263,"2000-2500m","list(c(95.4825103272238",95.4834933945522,95.5337663571432,"95.5327634398709, 95.4825103272238, 26.7883489268697, 26.8334505517103, 26.8325586771359, 26.7874587870025, 26.7883489268697)),192.964106675941,31.4015048277594,24.1327487207406",0
"18",18,31,795.630734229576,"0-1000m","list(c(95.1818087162865",95.1826746353052,95.2329806845216,"95.2320948464376, 95.1818087162865, 26.8384271115789, 26.8835381027817, 26.882751768837, 26.8376423054017, 26.8384271115789)),210.879854004753,23.8275659411129,22.6225492916858",0
"19",19,32,1099.19242357667,"1000-2000m","list(c(95.2320948464376",95.2329806845216,95.2832846522194,"95.2823788986241, 95.2320948464376, 26.8376423054017, 26.882751768837, 26.8819475481314, 26.8368396471945, 26.8376423054017)),185.312417148044,21.3584916064208,23.9686141460774",19637.83457691
"20",20,33,797.406032264139,"0-1000m","list(c(95.2823788986241",95.2832846522194,95.3335864916517,"95.3326608261784, 95.2823788986241, 26.8368396471945, 26.8819475481314, 26.8811254435072, 26.8360191397924, 26.8368396471945)),175.904966917507,19.6250380103757,20.9963492156332",22388.582611503
"21",21,34,592.199659133948,"0-1000m","list(c(95.3326608261784",95.3335864916517,95.3838861560832,"95.3829405824448, 95.3326608261784, 26.8360191397924, 26.8811254435072, 26.8802854578694, 26.8351807860934, 26.8360191397924)),176.33945912309,17.12138311959,18.1242958250372",22150.1664741226
"22",22,35,864.261220262381,"0-1000m","list(c(95.3829405824448",95.3838861560832,95.4341835987908,"95.4332181207799, 95.3829405824448, 26.8351807860934, 26.8802854578694, 26.879427594186, 26.8343245890582, 26.8351807860934)),188.823779870675,20.8172377254018,22.6512089442328",15339.0740819129
"23",23,36,1496.76718347875,"1000-2000m","list(c(95.4332181207799",95.4341835987908,95.4844787730641,"95.4834933945522, 95.4332181207799, 26.8343245890582, 26.879427594186, 26.8785518554879, 26.8334505517103, 26.8343245890582)),219.793084063698,27.1907759027761,27.7121540870687",14170.9529972687
"24",24,37,1750.54308168161,"1000-2000m","list(c(95.4834933945522",95.4844787730641,95.5347716322049,"95.5337663571432, 95.4834933945522, 26.8334505517103, 26.8785518554879, 26.8776582448689, 26.8325586771359, 26.8334505517103)),180.414909890157,26.5015111938585,23.4871234298949",15295.7371022613
"25",25,38,1982.2047928837,"1000-2000m","list(c(95.5337663571432",95.5347716322049,95.5850621295281,"95.5840369619471, 95.5337663571432, 26.8325586771359, 26.8776582448689, 26.8767467654856, 26.8316489684838, 26.8325586771359)),174.285845815217,30.357926959929,28.3395777813864",550.553016357767
"26",26,39,1730.45456108971,"1000-2000m","list(c(95.5840369619471",95.5850621295281,95.6353502183617,"95.6343051623712, 95.5840369619471, 26.8316489684838, 26.8767467654856, 26.8758174205575, 26.8307214289656, 26.8316489684838)),199.090251756954,27.8725187823695,25.8980910416378",14834.4341542482
"27",27,42,375.576267848351,"0-1000m","list(c(92.1119312398603",92.1115777223969,92.1619420714983,"92.1622755575372, 92.1119312398603, 26.8976079109925, 26.942745949069, 26.9430541682155, 26.8979155318491, 26.8976079109925)),187.226347742829,27.3968737305406,17.1351115232742",19186.0253183212
"28",28,43,464.617146780687,"0-1000m","list(c(92.1622755575372",92.1619420714983,92.2123072040659,"92.2126206573386, 92.1622755575372, 26.8979155318491, 26.9430541682155, 26.9433444120774, 26.8982052123103, 26.8979155318491)),190.082383271802,28.5318818904051,19.6836000037636",0
"29",29,44,446.74077560241,"0-1000m","list(c(92.2126206573386",92.2123072040659,92.2626730730425,"92.262966492288, 92.2126206573386, 26.8982052123103, 26.9433444120774, 26.9436166796266, 26.8984769513505, 26.8982052123103)),175.41961652915,26.1735774975591,17.1832383318692",0
"30",30,45,374.645006016847,"0-1000m","list(c(92.262966492288",92.2626730730425,92.313039631367,"92.3133130154045, 92.262966492288, 26.8984769513505, 26.9436166796266, 26.9438709698988, 26.898730748008, 26.8984769513505)),169.787142842678,22.5728184810046,15.340513320813",0
"31",31,51,327.856402164112,"0-1000m","list(c(93.018210279844",93.0182174675378,93.0685887167245,"93.0685614857882, 93.018210279844, 26.900399563465, 26.9455430311263, 26.9455275898205, 26.900384152134, 26.900399563465)),185.411490438969,15.0405271808496,8.50347953769327",0
"32",32,52,295.676948248697,"0-1000m","list(c(93.0685614857882",93.0685887167245,93.1189599019323,"93.1189126278633, 93.0685614857882, 26.900384152134, 26.9455275898205, 26.9454941644689, 26.9003507916679, 26.900384152134)),175.811721089239,14.3074371929953,8.84679860835676",0
"33",33,58,730.183620581991,"0-1000m","list(c(95.2329806845216",95.2338686041261,95.2841925340823,"95.2832846522194, 95.2329806845216, 26.882751768837, 26.9278609170926, 26.9270551326811, 26.8819475481314, 26.882751768837)),182.320644521018,20.7987451619225,21.1332239450935",16397.2624786327
"34",34,59,698.614525139665,"0-1000m","list(c(95.2832846522194",95.2841925340823,95.3345143321277,"95.3335864916517, 95.2832846522194, 26.8819475481314, 26.9270551326811, 26.9262314296004, 26.8811254435072, 26.8819475481314)),213.588860437882,21.0013425591242,17.5418746157573",35592.2670638688
"35",35,60,623.077929822359,"0-1000m","list(c(95.3335864916517",95.3345143321277,95.3848339514473,"95.3838861560832, 95.3335864916517, 26.8811254435072, 26.9262314296004, 26.9253898107627, 26.8802854578694, 26.8811254435072)),152.764672327565,20.0277519337,18.6882526388382",21172.6507843147
"36",36,61,744.494366592803,"0-1000m","list(c(95.3838861560832",95.3848339514473,95.4351513452384,"95.4341835987908, 95.3838861560832, 26.8802854578694, 26.9253898107627, 26.9245302791435, 26.879427594186, 26.8802854578694)),217.902059916296,20.738528441008,21.8002453742588",19066.5067420676
"37",37,62,1204.54289816173,"1000-2000m","list(c(95.4341835987908",95.4351513452384,95.4854664667106,"95.4844787730641, 95.4341835987908, 26.879427594186, 26.9245302791435, 26.9236528377809, 26.8785518554879, 26.879427594186)),195.566335106505,26.2975874355311,26.2098987917417",5782.31053294248
"38",38,63,1720.65736614149,"1000-2000m","list(c(95.4844787730641",95.4854664667106,95.5357792690863,"95.5347716322049, 95.4844787730641, 26.8785518554879, 26.9236528377809, 26.9227574897763, 26.8776582448689, 26.8785518554879)),187.02788684859,30.9943687380398,26.0273377055853",4384.43125338228
"39",39,64,1401.49598951344,"1000-2000m","list(c(95.5347716322049",95.5357792690863,95.5860897056008,"95.5850621295281, 95.5347716322049, 26.8776582448689, 26.9227574897763, 26.9218442382942, 26.8767467654856, 26.8776582448689)),170.720116739617,24.1935877768915,24.6454290969444",25309.1490695877
"40",40,65,1480.97294091945,"1000-2000m","list(c(95.5850621295281",95.5860897056008,95.6363977295026,"95.6353502183617, 95.5850621295281, 26.8767467654856, 26.9218442382942, 26.9209130865618, 26.8758174205575, 26.8767467654856)),208.724943297282,26.1959333659971,26.6786575640661",11632.2065520262
"41",41,66,1903.9677875721,"1000-2000m","list(c(95.6353502183617",95.6363977295026,95.6867032940537,"95.6856358520472, 95.6353502183617, 26.8758174205575, 26.9209130865618, 26.9199640378694, 26.8748702133667, 26.8758174205575)),172.975310563822,30.0403033539711,27.1646618713646",0
"42",42,67,1839.81996664284,"1000-2000m","list(c(95.6856358520472",95.6867032940537,95.7370063525296,"95.7359189839398, 95.6856358520472, 26.8748702133667, 26.9199640378694, 26.9189970955702, 26.8739051472581, 26.8748702133667)),175.048964993826,30.5373391976641,27.1607557429129",0
"43",43,70,782.975492125984,"0-1000m","list(c(92.1115777223969",92.1112233744138,92.1616078019924,"92.1619420714983, 92.1115777223969, 26.942745949069, 26.9878836939582, 26.9881925118589, 26.9430541682155, 26.942745949069)),163.960853961172,29.5315605796222,26.8615966029585",27564.448832951
"44",44,71,1069.607690147,"1000-2000m","list(c(92.1619420714983",92.1616078019924,92.2119930143834,"92.2123072040659, 92.1619420714983, 26.9430541682155, 26.9881925118589, 26.9884833195586, 26.9433444120774, 26.9430541682155)),201.834006315267,28.2498607353175,26.1114847471302",9187.44178557118
"45",45,72,886.245778670517,"0-1000m","list(c(92.2123072040659",92.2119930143834,92.2623789644487,"92.2626730730425, 92.2123072040659, 26.9433444120774, 26.9884833195586, 26.9887561160269, 26.9436166796266, 26.9433444120774)),153.155373651986,26.4675197666131,22.5437010069898",1605.95727283411
"46",46,73,719.422583564808,"0-1000m","list(c(92.2626730730425",92.2623789644487,92.3127656050463,"92.313039631367, 92.2626730730425, 26.9436166796266, 26.9887561160269, 26.989010900297, 26.9438709698988, 26.9436166796266)),183.139954692913,27.6203171109888,21.9436084101738",0
"47",47,74,655.221611951541,"0-1000m","list(c(92.313039631367",92.3127656050463,92.3631528890301,"92.3634068319741, 92.313039631367, 26.9438709698988, 26.989010900297, 26.9892476714659, 26.9441072819933, 26.9438709698988)),158.17399445194,27.2992634842558,20.8934497153866",0
"48",48,75,470.835523235854,"0-1000m","list(c(92.3634068319741",92.3631528890301,92.4135407692505,"92.413774627795, 92.3634068319741, 26.9441072819933, 26.9892476714659, 26.9894664286948, 26.9443256150731, 26.9441072819933)),170.834141075858,26.3821147913407,18.3525199458698",0
"49",49,76,382.195954686214,"0-1000m","list(c(92.413774627795",92.4135407692505,92.4639291985545,"92.4641429717577, 92.413774627795, 26.9443256150731, 26.9894664286948, 26.9896671712082, 26.9445259683649, 26.9443256150731)),176.291834990933,30.5311999234651,14.7942901246856",10444.9032471867
"50",50,77,482.367932056544,"0-1000m","list(c(92.4641429717577",92.4639291985545,92.5143181297861,"92.5145118167869, 92.4641429717577, 26.9445259683649, 26.9896671712082, 26.9898498982947, 26.9447083411589, 26.9445259683649)),171.222513247358,36.1411848684661,13.050821747323",0
"51",51,78,314.722144777457,"0-1000m","list(c(92.5145118167869",92.5143181297861,92.5647075157865,"92.5648811158048, 92.5145118167869, 26.9447083411589, 26.9898498982947, 26.9900146093067, 26.9448727328092, 26.9447083411589)),169.570851288278,28.5148728274431,13.8854978902858",0
"52",52,79,281.568202502844,"0-1000m","list(c(92.5648811158048",92.5647075157865,92.6150973093942,"92.6152508217307, 92.5648811158048, 26.9448727328092, 26.9900146093067, 26.9901613036606, 26.9450191427333, 26.9448727328092)),174.433075069882,23.8590667280373,12.4708336185872",0
"53",53,82,267.117298669333,"0-1000m","list(c(92.9174749655937",92.9174419895012,92.9678333156822,"92.9678462014637, 92.9174749655937, 26.9455199614449, 26.990663095315, 26.9906836620794, 26.9455404883314, 26.9455199614449)),204.83151097366,29.8270051214082,8.91710697589943",0
"54",54,83,228.014637495709,"0-1000m","list(c(92.9678462014637",92.9678333156822,93.0182246721192,"93.0182174675378, 92.9678462014637, 26.9455404883314, 26.9906836620794, 26.9906862098143, 26.9455430311263, 26.9455404883314)),172.780850523034,24.447225640452,8.91365565292872",4499.48641783733
"55",55,84,304.597609313068,"0-1000m","list(c(93.0182174675378",93.0182246721192,93.0686160116397,"93.0685887167245, 93.0182174675378, 26.9455430311263, 26.9906862098143, 26.9906707385105, 26.9455275898205, 26.9455430311263)),191.404294672542,21.0083802303721,11.5620731082483",3445.5156226583
"56",56,85,374.261220262382,"0-1000m","list(c(93.0685887167245",93.0686160116397,93.1190072870714,"93.1189599019323, 93.0685887167245, 26.9455275898205, 26.9906707385105, 26.990637248223, 26.9454941644689, 26.9455275898205)),172.734107033449,23.2955609973558,12.0562227351662",0
"57",57,86,267.256140569895,"0-1000m","list(c(93.1189599019323",93.1190072870714,93.1693984512423,"93.1693309760702, 93.1189599019323, 26.9454941644689, 26.990637248223, 26.9905857390704, 26.9454427551897, 26.9454941644689)),167.647629735364,21.3788821972976,10.6286844944698",4243.37609994319
"58",58,87,262.926149587973,"0-1000m","list(c(93.1693309760702",93.1693984512423,93.219789456981,"93.2197018920476, 93.1693309760702, 26.9454427551897, 26.9905857390704, 26.9905162112353, 26.9453733621651, 26.9454427551897)),182.108029310262,21.6945872363989,15.5126727788586",3847.66930327661
"59",59,88,385.258734973598,"0-1000m","list(c(93.2197018920476",93.219789456981,93.2701802571169,"93.270072602775, 93.2197018920476, 26.9453733621651, 26.9905162112353, 26.9904286649642, 26.9452859856409, 26.9453733621651)),193.03022679884,25.0638224284477,22.5259605880309",0
"60",60,89,536.174378957623,"0-1000m","list(c(93.270072602775",93.2701802571169,93.3205708044808,"93.3204430611641, 93.270072602775, 26.9452859856409, 26.9904286649642, 26.9903231005673, 26.9451806259267, 26.9452859856409)),185.466032449158,24.9328261216082,22.0732269492935",0
"61",61,90,478.839859084046,"0-1000m","list(c(93.3204430611641",93.3205708044808,93.3709610519048,"93.3708132201277, 93.3204430611641, 26.9451806259267, 26.9903231005673, 26.9901995184187, 26.9450572833958, 26.9451806259267)),182.00220442314,21.4680130612043,17.5135449770829",0
"62",62,91,382.182420554429,"0-1000m","list(c(93.3708132201277",93.3709610519048,93.4213509522225,"93.4211830325806, 93.3708132201277, 26.9450572833958, 26.9901995184187, 26.9900579189567, 26.9449159584849, 26.9450572833958)),173.98524642922,24.6469730681304,18.874066754016",4920.37690802065
"63",63,92,315.354645831041,"0-1000m","list(c(93.4211830325806",93.4213509522225,93.4717404582698,"93.4715524514394, 93.4211830325806, 26.9449159584849, 26.9900579189567, 26.9898983026829, 26.9447566516949, 26.9449159584849)),187.718827512011,23.7213045565896,19.7410607718353",5786.27227818496
"64",64,93,219.045989000569,"0-1000m","list(c(93.4715524514394",93.4717404582698,93.5221295228844,"93.5219214296229, 93.4715524514394, 26.9447566516949, 26.9898983026829, 26.989720670163, 26.9445793635899, 26.9447566516949)),171.09921994169,19.4390064847669,11.9550088027648",13030.9672801097
"65",65,94,188.239230358097,"0-1000m","list(c(93.5219214296229",93.5221295228844,93.5725180989069,"93.5722899200523, 93.5219214296229, 26.9445793635899, 26.989720670163, 26.9895250220267, 26.944384094798, 26.9445793635899)),178.32505125996,16.9592744130293,9.85355355610571",5263.26678210263
"66",66,95,161.570496196404,"0-1000m","list(c(93.5722899200523",93.5725180989069,93.6229061391804,"93.6226578756517, 93.5722899200523, 26.944384094798, 26.9895250220267, 26.9893113589673, 26.944170846011, 26.944384094798)),172.433595374058,15.8077417874868,8.6257725618504",24062.5168453646
"67",67,99,477.424300115477,"0-1000m","list(c(95.2338686041261",95.2347586088165,95.2851025478581,"95.2841925340823, 95.2338686041261, 26.9278609170926, 26.9729697497648, 26.9721624004363, 26.9270551326811, 26.9278609170926)),184.855987560102,21.8040726404847,18.1020656905501",24366.4463621471
"68",68,100,592.685559127368,"0-1000m","list(c(95.2841925340823",95.2851025478581,95.3354443513315,"95.3345143321277, 95.2841925340823, 26.9270551326811, 26.9721624004363, 26.9713370976615, 26.9262314296004, 26.9270551326811)),207.02358252784,21.18971375791,19.743977111164",15789.9753138267
"69",69,101,509.183007971879,"0-1000m","list(c(95.3345143321277",95.3354443513315,95.385783972342,"95.3848339514473, 95.3345143321277, 26.9262314296004, 26.9713370976615, 26.9704938443595, 26.9253898107627, 26.9262314296004)),164.160123356744,21.6234047632164,16.9952275992669",8653.48361707314
"70",70,102,944.254798539371,"0-1000m","list(c(95.3848339514473",95.385783972342,95.4361213640069,"95.4351513452384, 95.3848339514473, 26.9253898107627, 26.9704938443595, 26.969632643513, 26.9245302791435, 26.9253898107627)),235.536964914344,26.1494787691534,25.2329269718701",16799.9395677887
"71",71,103,1301.65338160482,"1000-2000m","list(c(95.4351513452384",95.4361213640069,95.4864564794557,"95.4854664667106, 95.4351513452384, 26.9245302791435, 26.969632643513, 26.9687534981679, 26.9236528377809, 26.9245302791435)),153.65511874717,27.0717194306915,27.5844020848286",11092.865082877
"72",72,104,1292.70551126734,"1000-2000m","list(c(95.4854664667106",95.4864564794557,95.5367892718311,"95.5357792690863, 95.4854664667106, 26.9236528377809, 26.9687534981679, 26.9678564114331, 26.9227574897763, 26.9236528377809)),220.940825269066,27.803479641162,25.3059989086786",10951.8023805351
"73",73,105,1549.13442152242,"1000-2000m","list(c(95.5357792690863",95.5367892718311,95.5871196942885,"95.5860897056008, 95.5357792690863, 26.9227574897763, 26.9678564114331, 26.9669413864807, 26.9218442382942, 26.9227574897763)),181.808597117213,30.3565195999053,24.4515858788364",9323.92781219442
"74",74,106,1220.22936237945,"1000-2000m","list(c(95.5860897056008",95.5871196942885,95.6374476999965,"95.6363977295026, 95.5860897056008, 26.9218442382942, 26.9669413864807, 26.9660084265459, 26.9209130865618, 26.9218442382942)),171.296308577829,24.51348529934,25.8714363915156",27851.3364773655
"75",75,107,1340.64603603038,"1000-2000m","list(c(95.6363977295026",95.6374476999965,95.6877732421375,"95.6867032940537, 95.6363977295026, 26.9209130865618, 26.9660084265459, 26.9650575349272, 26.9199640378694, 26.9209130865618)),181.375009132681,28.5991806714333,26.4824142921576",6306.31232341134
"76",76,108,1414.20264660903,"1000-2000m","list(c(95.6867032940537",95.6877732421375,95.7380962739073,"95.7370063525296, 95.6867032940537, 26.9199640378694, 26.9650575349272, 26.9640887149859, 26.9189970955702, 26.9199640378694)),187.528738662345,30.2021320213202,26.4828890315314",377.929967377605
"77",77,111,1280.18749607683,"1000-2000m","list(c(92.1112233744138",92.1108681944839,92.1612727476734,"92.1616078019924, 92.1112233744138, 26.9878836939582, 27.0330211453191, 27.0333305624395, 26.9881925118589, 26.9878836939582)),145.969199817023,31.1397253099448,28.0139256929729",13798.0313407725
"78",78,112,1445.19863787584,"1000-2000m","list(c(92.1616078019924",92.1612727476734,92.2116780870258,"92.2119930143834, 92.1616078019924, 26.9881925118589, 27.0333305624395, 27.0336219344156, 26.9884833195586, 26.9881925118589)),225.615987472568,34.0084175870362,32.0114480051286",809.189497435793
"79",79,113,1646.36952404999,"1000-2000m","list(c(92.2119930143834",92.2116780870258,92.262084165322,"92.2623789644487, 92.2119930143834, 26.9884833195586, 27.0336219344156, 27.0338952602142, 26.9887561160269, 26.9884833195586)),161.756580859779,35.8479212826462,31.6906868451764",0
"80",80,114,1616.05856506183,"1000-2000m","list(c(92.2623789644487",92.262084165322,92.3124909353387,"92.3127656050463, 92.2623789644487, 26.9887561160269, 27.0338952602142, 27.0341505388662, 26.989010900297, 26.9887561160269)),179.623825119943,33.3794016110472,30.8885020360802",0
"81",81,115,1191.94905946219,"1000-2000m","list(c(92.3127656050463",92.3124909353387,92.3628983498489,"92.3631528890301, 92.3127656050463, 26.989010900297, 27.0341505388662, 27.0343877694667, 26.9892476714659, 26.989010900297)),164.227021731122,34.2735100475182,30.4011667385891",0
"82",82,116,837.176197351077,"0-1000m","list(c(92.3631528890301",92.3628983498489,92.4133063616218,"92.4135407692505, 92.3631528890301, 26.9892476714659, 27.0343877694667, 27.0346069511743, 26.9894664286948, 26.9892476714659)),172.965847483689,34.1536289533074,25.8607018140142",3237.06053696709
"83",83,117,856.802146757893,"0-1000m","list(c(92.4135407692505",92.4133063616218,92.4637149234233,"92.4639291985545, 92.4135407692505, 26.9894664286948, 27.0346069511743, 27.034808083212, 26.9896671712082, 26.9894664286948)),199.960962797548,33.8889444836135,22.4233071155925",10216.3063671871
"84",84,118,902.108572149981,"0-1000m","list(c(92.4639291985545",92.4637149234233,92.5141239880162,"92.5143181297861, 92.4639291985545, 26.9896671712082, 27.034808083212, 27.0349911648666, 26.9898498982947, 26.9896671712082)),173.786955806254,33.1917599324674,19.4532760473675",0
"85",85,119,699.44931266085,"0-1000m","list(c(92.5143181297861",92.5141239880162,92.5645335081606,"92.5647075157865, 92.5143181297861, 26.9898498982947, 27.0349911648666, 27.0351561954889, 26.9900146093067, 26.9898498982947)),142.747844531492,35.0530606736181,19.8011692299915",0
"86",86,120,363.421881865545,"0-1000m","list(c(92.5647075157865",92.5645335081606,92.6149434366138,"92.6150973093942, 92.5647075157865, 26.9900146093067, 27.0351561954889, 27.0353031744936, 26.9901613036606, 26.9900146093067)),159.725286480527,30.9613840496316,19.3388384466456",3690.51703924376
"87",87,121,250.422893177909,"0-1000m","list(c(92.6150973093942",92.6149434366138,92.665353726131,"92.6654874634456, 92.6150973093942, 26.9901613036606, 27.0353031744936, 27.0354321013596, 26.9902899808363, 26.9901613036606)),161.871862314111,23.68817357814,11.4788336761975",25677.4187722521
"88",88,126,238.118658060642,"0-1000m","list(c(92.8670507407485",92.8669975498776,92.9174089359803,"92.9174419895012, 92.8670507407485, 26.990624509594, 27.0357672792529, 27.0358059398478, 26.990663095315, 26.990624509594)),199.305381596294,27.3421645360333,8.61623680386274",0
"89",89,127,393.503598030552,"0-1000m","list(c(92.9174419895012",92.9174089359803,92.9678203996446,"92.9678333156822, 92.9174419895012, 26.990663095315, 27.0358059398478, 27.0358265465211, 26.9906836620794, 26.990663095315)),201.851329927323,31.0270547034037,18.1689784060828",0
"90",90,128,590.915385098236,"0-1000m","list(c(92.9678333156822",92.9678203996446,93.018231893617,"93.0182246721192, 92.9678333156822, 26.9906836620794, 27.0358265465211, 27.0358290991997, 26.9906862098143, 26.9906836620794)),173.780101943954,31.5945189793108,20.8004045941911",0
"91",91,129,303.236896616659,"0-1000m","list(c(93.0182246721192",93.018231893617,93.0686433706438,"93.0686160116397, 93.0182246721192, 26.9906862098143, 27.0358290991997, 27.0358135978745, 26.9906707385105, 26.9906862098143)),185.452201656556,21.9288862259915,12.8842620533746",7311.88540804201
"92",92,130,419.995423557632,"0-1000m","list(c(93.0686160116397",93.0686433706438,93.1190547834715,"93.1190072870714, 93.0686160116397, 26.9906707385105, 27.0358135978745, 27.0357800426006, 26.990637248223, 26.9906707385105)),201.189995772453,26.4737107818839,12.2130034425299",6630.0954793611
"93",93,131,474.659343418492,"0-1000m","list(c(93.1190072870714",93.1190547834715,93.1694660848468,"93.1693984512423, 93.1190072870714, 26.990637248223, 27.0357800426006, 27.0357284334969, 26.9905857390704, 26.990637248223)),170.311460466938,22.3365955927173,15.5658213485951",5044.55790506057
"94",94,132,392.58665494947,"0-1000m","list(c(93.1693984512423",93.1694660848468,93.2198772275172,"93.219789456981, 93.1693984512423, 26.9905857390704, 27.0357284334969, 27.0356587707465, 26.9905162112353, 26.9905857390704)),187.934024830818,23.4495339360014,15.551409941163",0
"95",95,133,382.700669107436,"0-1000m","list(c(93.219789456981",93.2198772275172,93.2702881642311,"93.2701802571169, 93.219789456981, 26.9905162112353, 27.0356587707465, 27.0355710545963, 26.9904286649642, 26.9905162112353)),177.515401486992,27.2754528858306,20.9262950623107",0
"96",96,134,432.241321950913,"0-1000m","list(c(93.2701802571169",93.2702881642311,93.3206988477378,"93.3205708044808, 93.2701802571169, 26.9904286649642, 27.0355710545963, 27.0354652853576, 26.9903231005673, 26.9904286649642)),198.378811794852,25.4530116870525,19.8496503322705",0
"97",97,135,516.067100113622,"0-1000m","list(c(93.3205708044808",93.3206988477378,93.3711092307883,"93.3709610519048, 93.3205708044808, 26.9903231005673, 27.0354652853576, 27.0353414634052, 26.9901995184187, 26.9903231005673)),168.1248259066,27.0861751961047,20.6698241897845",0
"98",98,136,323.512585525077,"0-1000m","list(c(93.3709610519048",93.3711092307883,93.4215192661352,"93.4213509522225, 93.3709610519048, 26.9901995184187, 27.0353414634052, 27.0351995891783, 26.9900579189567, 26.9901995184187)),165.708167701068,24.5714276990532,17.736988752052",2500.54976069353
